star_count,project
172269,"github.com/avelino/awesome-go"
121286,"k8s.io/kubernetes"
94955,"github.com/gin-gonic/gin"
77944,"github.com/junegunn/fzf"
64882,"github.com/prometheus/prometheus"
58348,"github.com/ethereum/go-ethereum"
57287,"github.com/YOUR-USER-OR-ORG-NAME/YOUR-REPO-NAME"
55398,"gitea.dev"
51762,"github.com/pocketbase/pocketbase"
51146,"github.com/wagoodman/dive"
48706,"github.com/caddyserver/caddy/v2"
44239,"github.com/spf13/cobra"
43338,"github.com/pingcap/tidb"
41759,"github.com/gofiber/fiber/v3"
40745,"github.com/milvus-io/milvus"
38427,"github.com/moby/moby/v2"
36568,"charm.land/bubbletea/v2"
35151,"github.com/labstack/echo/v5"
34724,"github.com/cockroachdb/cockroach"
34210,"go.etcd.io/etcd/v3"
33041,"k8s.io/minikube"
33036,"github.com/schollz/croc/v11"
31514,"github.com/derailed/k9s"
31376,"github.com/ollama/ollama"
31199,"github.com/restic/restic"
30991,"github.com/spf13/viper"
30611,"github.com/traefik/traefik/v3"
29764,"fyne.io/fyne/v2"
29726,"github.com/go-kit/kit"
26563,"github.com/stretchr/testify"
26147,"github.com/harness/gitness"
25758,"github.com/tsenart/vegeta/v12"
25726,"github.com/mudler/LocalAI"
24960,"github.com/quii/learn-go-with-tests"
24920,"github.com/valyala/fasthttp"
24898,"go.uber.org/zap"
24278,"github.com/abiosoft/colima"
24182,"google.golang.org/grpc"
24085,"github.com/sirupsen/logrus"
23924,"github.com/gorilla/mux"
22845,"github.com/github/hub/v2"
22664,"gorm.io/gorm"
22476,"github.com/dgraph-io/dgraph/v25"
21456,"github.com/jaegertracing/jaeger"
21327,"github.com/inancgumus/learngo"
21256,"github.com/urfave/cli/v3"
20430,"filippo.io/age"
20120,"github.com/samber/lo"
19993,"github.com/go-chi/chi/v5"
19921,"github.com/antonmedv/fx"
19880,"github.com/rakyll/hey"
19436,"github.com/go-playground/validator/v10"
18935,"github.com/julienschmidt/httprouter"
18772,"github.com/hyperledger/fabric"
18580,"github.com/jmoiron/sqlx"
18236,"github.com/emirpasic/gods/v2"
18174,"github.com/golangci/golangci-lint/v2"
17863,"github.com/golang-migrate/migrate/v4"
17677,"github.com/bcicen/ctop"
17330,"github.com/charmbracelet/vhs"
17175,"github.com/go-kratos/kratos/v3"
16972,"github.com/k3s-io/k3s"
16802,"github.com/Netflix/chaosmonkey/v2"
16799,"github.com/go-sql-driver/mysql"
16501,"github.com/rqlite/rqlite/v10"
16095,"go.k6.io/k6/v2"
16028,"go-micro.dev/v6"
15945,"github.com/tidwall/gjson"
15913,"gofr.dev"
15873,"github.com/PuerkitoBio/goquery"
15841,"github.com/air-verse/air"
15764,"github.com/tinygo-org/tinygo"
15486,"github.com/VictoriaMetrics/VictoriaMetrics"
15327,"github.com/goreleaser/goreleaser/v2"
15284,"github.com/dgraph-io/badger/v4"
15141,"github.com/seaweedfs/seaweedfs"
15076,"sigs.k8s.io/kind"
14697,"github.com/gizak/termui/v3"
14689,"github.com/json-iterator/go"
14425,"github.com/golang/groupcache"
14406,"github.com/gopherjs/gopherjs"
14359,"github.com/panjf2000/ants/v2"
14074,"go.keploy.io/server/v3"
13914,"github.com/go-task/task/v3"
13454,"github.com/hajimehoshi/ebiten/v2"
13385,"github.com/gogf/gf/v2"
13343,"github.com/nats-io/nats-server/v2"
13226,"github.com/jackc/pgx/v5"
12976,"github.com/bytebase/bytebase"
12814,"github.com/revel/revel"
12658,"github.com/juicedata/juicefs"
12546,"github.com/therecipe/qt"
12328,"github.com/google/go-github/v91"
12112,"github.com/hibiken/asynq"
12091,"github.com/rs/zerolog"
12002,"github.com/shirou/gopsutil/v4"
11966,"github.com/cloudflare/cloudflared"
11665,"github.com/adnanh/webhook"
11646,"github.com/zeromicro/go-zero"
11611,"github.com/asciimoo/wuzz"
11559,"github.com/blevesearch/bleve/v2"
11468,"resty.dev/v3"
11409,"github.com/go-delve/delve"
11257,"github.com/jroimartin/gocui"
11211,"github.com/drakkan/sftpgo/v2"
11128,"github.com/go-vgo/robotgo"
11102,"github.com/graphql-go/graphql"
11101,"github.com/panjf2000/gnet/v2"
11085,"github.com/casdoor/casdoor"
10906,"github.com/golang/protobuf"
10663,"github.com/sjwhitworth/golearn"
10645,"github.com/lib/pq"
10568,"github.com/go-swagger/go-swagger"
10229,"gobot.io/x/gobot/v2"
10181,"charm.land/lipgloss/v2"
10150,"github.com/k0sproject/k0s"
